Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Ticker
2026-09-07,3.5806,3.5806,3.5806,3.5806,POLSTR_3M
2026-09-07,3.56446,3.56446,3.56446,3.56446,POLSTR_1M
2026-09-07,3.486,3.486,3.486,3.486,POLSTR
2026-09-04,3.65,3.65,3.65,3.65,WIBOR_ON
2026-09-04,3.86,3.86,3.86,3.86,WIBOR_6M
2026-09-04,3.8,3.8,3.8,3.8,WIBOR_3M
2026-09-04,3.75,3.75,3.75,3.75,WIBOR_1M
2026-09-04,3.38,3.38,3.38,3.38,WIBID_ON
2026-09-04,127.46942238,127.46942238,127.46942238,127.46942238,POLSTR_CI
2026-09-04,3.57678,3.57678,3.57678,3.57678,POLSTR_6M
2026-09-04,3.57856,3.57856,3.57856,3.57856,POLSTR_3M
2026-09-04,3.55472,3.55472,3.55472,3.55472,POLSTR_1M
2026-09-04,3.499,3.499,3.499,3.499,POLSTR
2026-09-03,3.72,3.72,3.72,3.72,WIBOR_ON
2026-09-03,3.86,3.86,3.86,3.86,WIBOR_6M
2026-09-03,3.8,3.8,3.8,3.8,WIBOR_3M
2026-09-03,3.75,3.75,3.75,3.75,WIBOR_1M
2026-09-03,3.43,3.43,3.43,3.43,WIBID_ON
2026-09-03,127.45700842,127.45700842,127.45700842,127.45700842,POLSTR_CI
2026-09-03,3.57796,3.57796,3.57796,3.57796,POLSTR_6M
2026-09-03,3.57846,3.57846,3.57846,3.57846,POLSTR_3M
2026-09-03,3.55356,3.55356,3.55356,3.55356,POLSTR_1M
2026-09-03,3.555,3.555,3.555,3.555,POLSTR
2026-09-02,3.71,3.71,3.71,3.71,WIBOR_ON
2026-09-02,3.86,3.86,3.86,3.86,WIBOR_6M
2026-09-02,3.82,3.82,3.82,3.82,WIBOR_3M
2026-09-02,3.75,3.75,3.75,3.75,WIBOR_1M
2026-09-02,3.42,3.42,3.42,3.42,WIBID_ON
2026-09-02,127.44465501,127.44465501,127.44465501,127.44465501,POLSTR_CI
2026-09-02,3.57955,3.57955,3.57955,3.57955,POLSTR_6M
2026-09-02,3.57704,3.57704,3.57704,3.57704,POLSTR_3M
2026-09-02,3.55373,3.55373,3.55373,3.55373,POLSTR_1M
2026-09-02,3.538,3.538,3.538,3.538,POLSTR
2026-09-01,3.75,3.75,3.75,3.75,WIBOR_ON
2026-09-01,3.85,3.85,3.85,3.85,WIBOR_6M
2026-09-01,3.81,3.81,3.81,3.81,WIBOR_3M
2026-09-01,3.81,3.81,3.81,3.81,WIBOR_1M
2026-09-01,3.46,3.46,3.46,3.46,WIBID_ON
2026-09-01,127.43202004,127.43202004,127.43202004,127.43202004,POLSTR_CI
2026-09-01,3.57898,3.57898,3.57898,3.57898,POLSTR_6M
2026-09-01,3.57696,3.57696,3.57696,3.57696,POLSTR_3M
2026-09-01,3.55113,3.55113,3.55113,3.55113,POLSTR_1M
2026-09-01,3.619,3.619,3.619,3.619,POLSTR
2026-08-31,3.76,3.76,3.76,3.76,WIBOR_ON
2026-08-31,3.85,3.85,3.85,3.85,WIBOR_6M
2026-08-31,3.8,3.8,3.8,3.8,WIBOR_3M
2026-08-31,3.77,3.77,3.77,3.77,WIBOR_1M
2026-08-31,3.48,3.48,3.48,3.48,WIBID_ON
2026-08-31,127.42100947,127.42100947,127.42100947,127.42100947,POLSTR_CI
2026-08-31,3.58826,3.58826,3.58826,3.58826,POLSTR_6M
2026-08-31,3.57671,3.57671,3.57671,3.57671,POLSTR_3M
2026-08-31,3.54033,3.54033,3.54033,3.54033,POLSTR_1M
2026-08-31,3.154,3.154,3.154,3.154,POLSTR
2026-08-28,3.77,3.77,3.77,3.77,WIBOR_ON
2026-08-28,3.85,3.85,3.85,3.85,WIBOR_6M
2026-08-28,3.83,3.83,3.83,3.83,WIBOR_3M
2026-08-28,3.79,3.79,3.79,3.79,WIBOR_1M
2026-08-28,3.49,3.49,3.49,3.49,WIBID_ON
2026-08-28,127.38276323,127.38276323,127.38276323,127.38276323,POLSTR_CI
2026-08-28,3.58612,3.58612,3.58612,3.58612,POLSTR_6M
